#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
112,Lorenzo Jackson,EDGE,Louisiana-Monroe,,6015,254,91,-2.1,1.6,Jackson,6015,254,,,,5.12,2.94,1.85,4.57,7.19,15,33.5,9
113,Royce LaFrance,EDGE,Tulane,,6031,258,90.7,-2.2,1.5,LaFrance,6031,258,,,,5,2.82,1.71,4.6,7.32,16,29.5,9.17
114,D.J. Pettway,EDGE,Alabama,24,6021,265,90.6,-2.2,1.5,Pettway,6021,265,32.25,9.5,78.5,4.93,2.79,1.67,4.66,7.74,18,29,9.17
115,Cavin Murray,EDGE,Bowie State,,6017,254,90.6,-2.2,1.5,Murray,6017,254,,,,5.04,,,4.65,7.58,18,34.5,9.17
116,Vontarrius Dora,EDGE,Louisiana Tech,24,6040,256,90.6,-2.2,1.5,Dora,6040,256,,,,5.11,2.9,1.72,4.64,7.53,19,32,9.33
117,Michael Ayers,EDGE,Ball State,,6013,247,90,-2.2,1.3,Ayers,6013,247,,,,5.1,2.89,1.7,4.57,7.43,24,30,9.33
118,Keenan Noel,EDGE,Ball State,,6010,248,88.7,-2.3,1,Noel,6010,248,,,,5.08,2.88,1.82,4.53,7.21,18,30,9.25
119,Quinton Bradley,EDGE,Idaho,,6027,268,88.4,-2.3,1,Bradley,6027,268,,,,4.98,2.85,1.71,4.91,7.64,23,30.5,8.83
120,Rusmin Nikocevic,EDGE,Texas State,,6027,251,88,-2.4,0.9,Nikocevic,6027,251,,,,4.96,2.7,1.64,4.58,7.68,26,29.5,8.83
121,Poncho Barnwell,EDGE,Old Dominion,,6024,263,87.8,-2.4,0.9,Barnwell,6024,263,,,,4.93,2.82,1.75,4.72,7.57,22,29,9
122,Kwame Bell,EDGE,Virginia-Lynchburg,,6020,240,87.7,-2.4,0.8,Bell,6020,240,,,,5.17,,,4.6,6.75,15,,9.08
123,James Robinson,EDGE,South Carolina State,,6027,247,87.6,-2.4,0.8,Robinson,6027,247,,,,4.99,2.95,1.76,4.6,7.44,16,30,9.42
124,Ugonna Awuruonye,EDGE,Campbell,,6051,253,87.5,-2.4,0.8,Awuruonye,6051,253,,,,4.98,2.77,1.67,4.59,7.59,22,30.5,8.75
125,Carnell Simon,EDGE,Troy,,6034,248,87.3,-2.4,0.8,Simon,6034,248,,,,5.2,3.02,1.86,4.51,7.56,22,33.5,9.08
126,Jay Quitmeyer,EDGE,Arizona State,,6042,288,85.5,-2.6,0.5,Quitmeyer,6042,288,,,,5.02,2.89,1.75,4.74,7.5,17,28.5,8.25
