#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
145,Tyrell Brown,FS,Coastal Carolina,,5117,178,92.3,-2.5,0.6,Brown,5117,178,,,,4.67,2.75,1.57,4.61,7.57,13,33,10.25
146,Tari Jones,FS,Midwestern State,,5104,197,92.2,-2.5,0.6,Jones,5104,197,,,,4.74,2.75,1.7,4.35,7.5,11,34.5,10
147,Jamar Allah,SS,Arizona,,6000,200,91.7,-2.5,0.5,Allah,6000,200,,,,4.59,2.63,1.65,,,,30.5,8.92
148,Chaz Whittaker,SS,Toledo,,6007,205,91.7,-2.5,0.5,Whittaker,6007,205,,,,4.8,2.73,1.72,4.41,6.89,16,29.5,10
149,Keelin Smith,FS,Florida State,,6030,187,91.3,-2.6,0.5,Smith,6030,187,,,,4.78,2.71,1.65,4.4,6.78,8,28.5,10
150,Dallas Crawford,SS,Miami,,5085,201,90.5,-2.7,0.4,Crawford,5085,201,,,,5,2.89,1.69,4.32,6.83,21,33,9
151,Jahmel McIntosh,SS,Vanderbilt,,6002,198,90.5,-2.7,0.4,McIntosh,6002,198,,,,4.76,2.75,1.61,4.42,7.07,13,30,9.25
152,David Clark,SS,Sioux Falls,,6004,207,90.2,-2.7,0.4,Clark,6004,207,,,,4.85,2.76,1.69,4.68,7.33,16,34.5,9.92
153,Davious Chestnut,FS,South Carolina State,,6003,207,90.2,-2.7,0.4,Chestnut,6003,207,,,,4.68,2.74,1.65,4.41,7.27,14,32.5,9
154,Jamaal Whitney,SS,East Central,,6005,233,90.1,-2.7,0.3,Whitney,6005,233,,,,4.95,2.9,1.74,4.78,7.53,18,35.5,10.08
155,Carlos Hutton,FS,West Georgia,,5092,181,89.6,-2.8,0.3,Hutton,5092,181,,,,4.61,2.65,1.59,4.59,7.25,11,32,9.58
156,Tay Hicklin,FS,Georgia Southern,,5101,192,89.3,-2.8,0.3,Hicklin,5101,192,,,,4.7,2.65,1.6,4.38,7.89,10,33,9.5
157,Jermaine Reve,FS,Louisville,,5111,198,89.3,-2.8,0.3,Reve,5111,198,,,,4.7,2.66,1.64,4.39,7.19,17,30,9.25
158,Cody Jones,FS,Central Oklahoma,,5095,189,89.2,-2.8,0.3,Jones,5095,189,,,,4.74,2.84,1.63,4.65,7.02,10,33.5,9.42
159,Alex Miller,FS,Stephen F. Austin,,6007,178,89.1,-2.8,0.3,Miller,6007,178,,,,4.79,2.83,1.64,4.38,7.14,5,32.5,9.75
160,Quincy Adams,SS,Navy,,5087,204,88.4,-2.9,0.2,Adams,5087,204,,,,4.78,2.85,1.68,4.5,7.26,21,33,9.17
161,Contereze Pierce,FS,Sam Houston State,,5084,177,88.5,-2.9,0.2,Pierce,5084,177,,,,4.74,2.68,1.63,4.89,7.63,20,35.5,10.17
162,Trey Wafford,SS,Middle Tennessee State,,5100,195,87.8,-2.9,0.2,Wafford,5100,195,,,,4.66,2.7,1.63,4.5,7.27,12,31,9.33
163,Nate Simon,SS,Georgia State,,6011,194,87.6,-2.9,0.2,Simon,6011,194,,,,4.83,2.76,1.63,,,21,27.5,9.67
164,Adrian McDonald,SS,Houston,,5092,190,87.5,-2.9,0.2,McDonald,5092,190,,,,4.65,2.69,1.63,4.46,7.47,10,33,9.33
165,Fellonte Misher,SS,Old Dominion,,6021,216,87.5,-2.9,0.2,Misher,6021,216,,,,4.87,2.82,1.72,4.39,7.19,13,32,9.33
166,Jordan Webb,FS,Northern Iowa,,5110,205,87.7,-2.9,0.2,Webb,5110,205,,,,4.59,2.69,1.64,4.55,7.34,15,31,9.17
167,St. Pierre Anilus,SS,Murray State,,5094,205,87,-3,0.1,Pierre Anilus,5094,205,,,,4.73,2.63,1.65,4.42,7.43,16,29,9.5
