#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
132,Javien Elliott,CB,Florida State,23.1,5100,184,100.5,-1.6,5.2,Elliott,5100,184,,,,4.63,2.64,1.58,4.39,7.18,,34.5,9.67
133,Solomon Means,CB,Arizona State,,6004,184,100.1,-1.7,4.9,Means,6004,184,,,,4.58,2.69,1.56,4.46,6.93,5,32,9.92
134,Harlan Miller,CB,Southeast Louisiana,,5117,182,99.9,-1.7,4.7,Miller,5117,182,30.875,8.375,76.5,4.57,2.62,1.6,4.42,7.13,6,35.5,9.83
135,Brian Poole,CB,Florida,23.9,5095,209,99.7,-1.7,4.5,Poole,5095,209,,,,4.5,2.57,1.54,4.43,7.14,,29,9.33
136,Izauea Lanier,CB,West Alabama,,5115,188,99.4,-1.7,4.3,Lanier,5115,188,,,,4.6,2.63,1.59,4.28,7.07,12,32.5,9.5
137,Caleb Williams,CB,Georgia Southern,,5075,186,99.4,-1.7,4.2,Williams,5075,186,,,,4.6,2.59,1.57,4.34,7.27,13,34.5,9.42
138,Sam Richardson,CB,Iowa State,,5071,173,99.3,-1.7,4.2,Richardson,5071,173,,,,4.55,2.62,1.66,4.4,7.13,,36.5,10.08
139,Ivan Toomer,CB,Gardner-Webb,,5115,196,99.1,-1.7,4,Toomer,5115,196,,,,4.57,2.65,1.58,4.41,7.24,14,32.5,9.58
140,Trenier Orr,CB,Sam Houston State,,5104,182,99.1,-1.8,4,Orr,5104,182,,,,4.7,2.64,1.64,4.26,7.28,10,36,9.92
141,Jared Singletary,CB,Middle Tennessee State,,5081,175,99,-1.8,3.9,Singletary,5081,175,,,,4.61,2.6,1.61,4.57,6.92,13,35.5,9.92
142,Bernard Thomas,CB,Murray State,,5101,185,98.2,-1.8,3.3,Thomas,5101,185,,,,4.72,2.62,1.62,4.4,7.16,15,35.5,9.67
143,DMetrius Williams,CB,Norfolk State,,5111,187,98.2,-1.8,3.3,Williams,5111,187,,,,4.65,2.68,1.54,4.35,6.75,14,29.5,9.25
144,Rashard Robinson,CB,LSU,21.1,6014,171,97.6,-1.9,2.9,Robinson,6014,171,32.25,9,76.875,4.4,2.61,1.6,4.5,7.29,5,35.5,10.08
145,Jermaine Hough,CB,Jacksonville State,,5086,187,97.4,-1.9,2.8,Hough,5086,187,,,,4.78,2.68,1.65,4.46,6.99,16,35.5,9.75
146,Edwin Young,CB,Northern Iowa,,5100,185,97.3,-1.9,2.7,Young,5100,185,,,,4.55,2.65,1.53,4.6,7.34,20,33,9.58
147,Fred Wilson,CB,UNLV,,5112,174,97.3,-1.9,2.7,Wilson,5112,174,,,,4.71,,,4.45,6.62,7,34.5,9.83
148,Ronnie Davis,CB,Kansas,,5111,191,97.2,-1.9,2.7,Davis,5111,191,,,,4.72,2.66,1.62,4.46,6.98,7,34,9.75
149,Ryan Dillard,CB,Southern Cal,,5085,180,97,-2,2.5,Dillard,5085,180,,,,4.8,2.75,1.62,4.52,7.09,17,37,9.67
150,Stanley Absanon,CB,Eastern Kentucky,,5102,183,97,-2,2.5,Absanon,5102,183,,,,4.76,2.75,1.69,4.23,7.14,8,32,10.67
151,Tyler Floyd,CB,Utah State,,5082,188,96.6,-2,2.3,Floyd,5082,188,,,,4.61,2.65,1.62,4.3,7.28,15,34.5,9.33
152,Demundre Freeman,CB,Stephen F. Austin,,5105,177,96.5,-2,2.2,Freeman,5105,177,,,,4.76,2.77,1.59,4.39,7.03,11,31.5,10.08
153,Nate Jackson,CB,Kansas State,,5096,182,95.8,-2.1,1.9,Jackson,5096,182,,,,4.71,2.69,1.64,4.21,7.02,7,33.5,9.58
154,Ronnie Harris,CB,Stanford,,5087,174,95.7,-2.1,1.9,Harris,5087,174,,,,4.8,2.76,1.62,4.32,7.2,10,34.5,10
155,Nate Harris,CB,Montana,,5084,180,95.6,-2.1,1.8,Harris,5084,180,,,,4.56,2.63,1.62,4.29,7.01,17,33,9.17
156,Mikell Everette,CB,Sam Houston State,,5094,181,95.3,-2.1,1.7,Everette,5094,181,,,,4.79,2.65,1.66,4.25,7.19,10,34.5,9.92
157,Elroy Douglas,CB,Missouri Western,,5100,184,95.3,-2.1,1.7,Douglas,5100,184,,,,4.65,2.72,1.58,4.38,7.38,15,33,9.58
158,Lamar Edmonds,CB,New Hampshire,,5100,184,94.8,-2.2,1.5,Edmonds,5100,184,,,,4.76,2.67,1.63,4.15,7.07,10,31,9.67
159,Cody Quinn,CB,Kentucky,,5097,176,94.7,-2.2,1.5,Quinn,5097,176,,,,4.52,2.61,1.59,4.51,7.39,11,33,10.08
160,Yogi Hale,CB,San Diego,,5066,165,93.9,-2.3,1.2,Hale,5066,165,,,,,2.7,1.62,4.5,7.5,8,38,10.17
161,George Clements,CB,Louisville,,5092,177,93.8,-2.3,1.2,Clements,5092,177,,,,4.64,2.65,1.65,4.34,7.21,10,32.5,10.08
162,Justin Grier,CB,Morehead State,,5107,190,93.6,-2.3,1.1,Grier,5107,190,,,,4.76,2.83,1.67,4.46,7.33,16,33,10.25
163,A.J. Battle,CB,Northern Colorado,,6001,176,93.1,-2.3,1,Battle,6001,176,,,,4.69,,1.7,4.3,7.1,7,34.5,10.08
164,NeQuan Phillips,CB,Hawaii,,5091,191,93.1,-2.3,1,Phillips,5091,191,,,,4.66,2.61,1.65,4.7,7.07,19,34.5,9.58
165,DaQuan Minter,CB,St. Francis (PA),,5111,189,92.6,-2.4,0.9,Minter,5111,189,,,,4.67,2.7,1.57,4.55,7.8,11,33,10.08
166,Demetrious Nicholson,CB,Virginia,,5092,185,92.4,-2.4,0.8,Nicholson,5092,185,,,,4.77,2.72,1.63,4.28,7.16,10,32,9.58
